date,ct.-conventional mg-monthly ending stock,ct.-distillate-monthly ending stock,ct.-rfmg-monthly ending stock,ma.-conventional mg-monthly ending stock,ma.-distillate-monthly ending stock,ma.-rfmg-monthly ending stock,me.-conventional mg-monthly ending stock,me.-distillate-monthly ending stock,me.-rfmg-monthly ending stock,nh.-conventional mg-monthly ending stock,nh.-distillate-monthly ending stock,nh.-rfmg-monthly ending stock,ri.-conventional mg-monthly ending stock,ri.-distillate-monthly ending stock,ri.-rfmg-monthly ending stock,vt.-conventional mg-monthly ending stock,vt.-distillate-monthly ending stock
1993-01-01,1908,3995,,2062,2557,,800,1374,,255,1055,,907,896,,38,140
1993-02-01,2169,2899,,1786,1855,,1087,1253,,174,851,,765,1028,,28,116
1993-03-01,2170,1290,,2013,1882,,940,891,,132,295,,620,657,,22,76
1993-04-01,1518,952,,1911,2082,,979,990,,129,478,,889,768,,39,54
1993-05-01,2095,1357,,2149,1755,,959,885,,134,518,,963,923,,43,63
1993-06-01,1748,1974,,1643,2191,,989,1225,,79,1051,,745,1103,,37,55
1993-07-01,1850,2894,,1565,2128,,841,1168,,90,1242,,708,1358,,21,41
1993-08-01,1531,2888,,1662,3683,,862,1336,,72,1398,,618,1215,,23,26
1993-09-01,1258,4647,,1546,2112,,963,1307,,5,1272,,735,1226,,19,23
1993-10-01,1573,5243,,1114,3496,,741,1514,,2,1315,,681,1333,,21,19
1993-11-01,2417,4791,,1366,2421,,735,1555,,2,1202,,640,1631,,17,35
1993-12-01,1880,4873,,1248,1964,,638,1400,,0,1099,,582,1192,,11,29
1994-01-01,1820,2319,0,1380,2580,0,733,711,0,0,438,0,559,1106,0,3,12
1994-02-01,2290,1564,0,2280,1833,0,1131,703,0,0,547,0,766,1172,0,16,15
1994-03-01,1893,1284,0,2081,1916,0,952,993,0,0,466,0,692,575,0,17,20
1994-04-01,1752,1046,0,1604,1417,0,1224,978,0,0,441,0,389,342,0,14,16
1994-05-01,2139,944,0,1900,1975,0,1043,843,0,0,365,0,730,533,0,17,15
1994-06-01,1741,2261,0,1961,3312,0,909,1165,0,0,803,0,641,657,0,17,44
1994-07-01,1574,4564,0,1443,3660,0,686,1231,0,0,1451,0,579,1339,0,23,42
1994-08-01,1561,4689,0,2023,4229,0,824,1331,0,0,1384,0,540,1363,0,15,55
1994-09-01,1720,5078,0,1796,5025,0,784,1746,0,0,1075,0,736,1473,0,15,56
1994-10-01,1343,5135,0,1379,5032,0,687,1369,0,0,1201,0,734,1454,0,25,52
1994-11-01,131,5149,932,633,3906,1015,241,1450,674,0,1293,0,32,1271,488,26,49
1994-12-01,105,4433,887,210,3612,2043,403,1171,659,0,1098,0,1,1469,528,16,43
1995-01-01,1,4339,1067,47,3100,1871,402,1293,712,0,1239,0,1,1447,777,47,37
1995-02-01,1,3037,1384,111,2531,1640,562,1265,819,0,992,0,1,1032,766,37,48
1995-03-01,1,2927,1505,286,2272,1689,393,1121,490,0,624,0,1,803,392,19,58
1995-04-01,0,2694,1646,227,2138,1458,361,1033,593,0,444,0,1,724,620,7,47
1995-05-01,0,2781,1164,0,2273,1198,365,1063,524,0,888,0,1,910,597,31,38
1995-06-01,0,2646,1231,0,3076,1219,362,903,525,0,1037,0,1,731,538,27,34
1995-07-01,0,3372,1191,0,4392,1413,316,1410,712,0,1282,0,0,1112,520,20,29
