date,ct.-regular gasoline-company outlets refiner_gasoline price (nominal),ct.-regular gasoline-other users refiner_gasoline price (nominal),ct.-regular gasoline-wholesale/resale refiner_gasoline price (nominal),ct.-total gasoline-company outlets refiner_gasoline price (nominal),ct.-total gasoline-other users refiner_gasoline price (nominal),ct.-total gasoline-wholesale/resale refiner_gasoline price (nominal),ma.-regular gasoline-company outlets refiner_gasoline price (nominal),ma.-regular gasoline-other users refiner_gasoline price (nominal),ma.-regular gasoline-wholesale/resale refiner_gasoline price (nominal),ma.-total gasoline-company outlets refiner_gasoline price (nominal),ma.-total gasoline-other users refiner_gasoline price (nominal),ma.-total gasoline-wholesale/resale refiner_gasoline price (nominal),me.-regular gasoline-company outlets refiner_gasoline price (nominal),me.-regular gasoline-other users refiner_gasoline price (nominal),me.-regular gasoline-wholesale/resale refiner_gasoline price (nominal),me.-total gasoline-company outlets refiner_gasoline price (nominal),me.-total gasoline-other users refiner_gasoline price (nominal),me.-total gasoline-wholesale/resale refiner_gasoline price (nominal),nh.-regular gasoline-company outlets refiner_gasoline price (nominal),nh.-regular gasoline-other users refiner_gasoline price (nominal),nh.-regular gasoline-wholesale/resale refiner_gasoline price (nominal),nh.-total gasoline-company outlets refiner_gasoline price (nominal),nh.-total gasoline-other users refiner_gasoline price (nominal),nh.-total gasoline-wholesale/resale refiner_gasoline price (nominal),padd1a-regular gasoline-company outlets refiner_gasoline price (nominal),padd1a-regular gasoline-other users refiner_gasoline price (nominal),padd1a-regular gasoline-wholesale/resale refiner_gasoline price (nominal),padd1a-total gasoline-company outlets refiner_gasoline price (nominal),padd1a-total gasoline-other users refiner_gasoline price (nominal),padd1a-total gasoline-wholesale/resale refiner_gasoline price (nominal),ri.-regular gasoline-company outlets refiner_gasoline price (nominal),ri.-regular gasoline-other users refiner_gasoline price (nominal),ri.-regular gasoline-wholesale/resale refiner_gasoline price (nominal),ri.-total gasoline-company outlets refiner_gasoline price (nominal),ri.-total gasoline-other users refiner_gasoline price (nominal),ri.-total gasoline-wholesale/resale refiner_gasoline price (nominal)
1983-01-01,1.115,,,1.093,,,,.967,,1.004,,,1.04,,,,.951,,,.976,,,,.959,,.969,,1.009,,,1.007,,,,.919,
1983-02-01,1.072,,,,,.917,,,.916,,,.912,.991,,,,,.888,,.943,,,.931,,.98,,,.971,,,.966,,,,,.902
1983-03-01,.975,,,.957,,,.939,,,.929,,,,,.868,,.898,,.936,,,,.898,,.941,,,,.889,,,.89,,.929,,
1983-04-01,.941,,,.924,,,.97,,,.956,,,,.936,,,.92,,.967,,,.954,,,,,.913,,.914,,.991,,,.964,,
1983-05-01,,,.933,,.931,,1.005,,,,,.939,,.964,,.987,,,,,.953,.981,,,,,.941,.989,,,,.938,,,.93,
1983-06-01,.998,,,,,.929,1.006,,,.994,,,1.011,,,,.935,,,,.956,,.95,,,,.942,,,.934,1.027,,,,.929,
1983-07-01,,,.946,,.947,,,.959,,1.002,,,1.034,,,1.019,,,,,.959,1.009,,,,,.952,1.006,,,,,.952,1.018,,
1983-08-01,,.942,,.981,,,1.011,,,,,.942,,,.949,,.949,,,.969,,,,.953,,.951,,,.948,,.99,,,,.945,
1983-09-01,,,.939,,,.936,,.949,,,,.935,,.952,,,,.925,,,.953,.989,,,1.003,,,,,.935,,,.941,,,.937
1983-10-01,.986,,,.973,,,.986,,,,.921,,.994,,,,.93,,,,.936,,,.932,,,.923,,.916,,,,.909,.968,,
1983-11-01,,,.905,,.905,,,.91,,,,.894,,.922,,,.908,,,,.914,.957,,,,.907,,,,.898,,.896,,,,.896
1983-12-01,,,.882,,.869,,.945,,,,.872,,,.895,,.93,,,.944,,,,.872,,,,.868,,.873,,.934,,,,.867,
1984-01-01,,,.879,,.863,,,.848,,,,.856,.914,,,.907,,,,,.872,.919,,,.925,,,,,.863,,,.859,,.858,
1984-02-01,,,.868,.913,,,.914,,,,.861,,,.886,,,.877,,,,.88,.895,,,,,.864,,.865,,,.87,,,,.852
1984-03-01,,.869,,.91,,,.909,,,,,.863,,,.878,.907,,,,.878,,,.869,,,.871,,.905,,,,,.856,,.846,
