date,padd1a-distillate-weekly ending stock
1990-11-09,11200
1990-11-16,10600
1990-11-23,10400
1990-11-30,10900
1990-12-07,9800
1990-12-14,10200
1990-12-21,8700
1990-12-28,8600
1991-01-04,8500
1991-01-11,8600
1991-01-18,7400
1991-01-25,6800
1991-02-01,6700
1991-02-08,6600
1991-02-15,5700
1991-02-22,4200
1991-03-01,4000
1991-03-08,3900
1991-03-15,3400
1991-03-22,3600
1991-03-29,3400
1991-04-05,3600
1991-04-12,3900
1991-04-19,4800
1991-04-26,5000
1991-05-10,5200
1991-05-17,4700
1991-05-24,4400
1991-05-31,4700
1991-06-07,4900
1991-06-14,4700
1991-06-21,5900
1991-06-28,6600
1991-07-05,6700
1991-07-12,7300
1991-07-19,7400
1991-07-26,7900
1991-08-02,9500
1991-08-09,9100
1991-08-16,8400
1991-08-23,8700
1991-08-30,9300
1991-09-06,9200
1991-09-13,9900
1991-09-20,10700
1991-09-27,11100
1991-10-04,11000
1991-10-11,11500
1991-10-18,11400
1991-10-25,11400
1991-11-01,11900
1991-11-08,11800
1991-11-15,11800
1991-11-22,11900
1991-11-29,12000
1991-12-06,12500
1991-12-13,10700
1991-12-20,10400
1991-12-27,10200
1992-01-03,10600
1992-01-10,10300
1992-01-17,8900
1992-01-24,8100
1992-01-31,7500
1992-02-07,7400
1992-02-14,6000
1992-02-21,5900
1992-02-28,6100
1992-03-06,6200
1992-03-13,6100
1992-03-20,4900
1992-03-27,4300
1992-04-03,4200
1992-04-10,3500
1992-04-17,3300
1992-04-24,3400
1992-05-01,3400
1992-05-08,2800
1992-05-15,2900
1992-05-22,3900
1992-05-29,4100
1992-06-05,4600
1992-06-12,5800
1992-06-19,6200
1992-06-26,6500
1992-07-03,7500
1992-07-10,7900
1992-07-17,8800
1992-07-24,9500
1992-07-31,10000
1992-08-07,10900
1992-08-14,11100
1992-08-21,10900
1992-08-28,10800
1992-09-04,10800
1992-09-11,12300
1992-09-18,11900
1992-09-25,12000
1992-10-02,11900
1992-10-09,11700
1992-10-16,12000
1992-10-23,12500
1992-10-30,13100
1992-11-06,13400
1992-11-13,12900
1992-11-20,11600
1992-11-27,11800
1992-12-04,11700
1992-12-11,10400
1992-12-18,9900
1992-12-25,10400
1993-01-01,10000
1993-01-08,11300
1993-01-15,11400
1993-01-22,11100
1993-01-29,11400
1993-02-05,10300
1993-02-12,9800
1993-02-19,9300
1993-02-26,8800
1993-03-05,7500
1993-03-12,6400
1993-03-19,6600
1993-03-26,6200
1993-04-02,5300
1993-04-09,5300
1993-04-16,5100
1993-04-23,5300
1993-04-30,5600
1993-05-07,5553
1993-05-14,5801
1993-05-21,5678
1993-05-28,6402
1993-06-04,6211
1993-06-11,6849
1993-06-18,7333
1993-06-25,7400
1993-07-02,7868
1993-07-09,9289
1993-07-16,9276
1993-07-23,9956
1993-07-30,8902
1993-08-06,9657
1993-08-13,9721
1993-08-20,10683
1993-08-27,10469
1993-09-03,11093
